model	setting	rep	mamba_name	mamba_node	value	mean	2.5%	25.0%	50.0%	75.0%	97.5%
mimix-0-factors	setting01	rep1	β[95, 1]	β	0.0	0.04174543201049167	0.0	0.0	0.0	0.0	0.6216951563813738
mimix-0-factors	setting01	rep1	β[96, 1]	β	0.0	-0.02217502045270345	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[97, 1]	β	0.0	0.00020789225556894531	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[98, 1]	β	0.0	-0.0017614436202648563	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[99, 1]	β	0.0	0.004941409785542599	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep1	β[100, 1]	β	0.0	0.004460283527293397	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[1, 1]	β	0.0	-0.003096786382098034	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[2, 1]	β	0.0	0.002950374364407055	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[3, 1]	β	0.0	0.02452782305485524	0.0	0.0	0.0	0.0	0.4683141096589756
mimix-0-factors	setting01	rep2	β[4, 1]	β	0.0	0.07912611471082052	0.0	0.0	0.0	0.0	0.7652033325472497
mimix-0-factors	setting01	rep2	β[5, 1]	β	0.0	0.31313283359386923	0.0	0.0	0.0	0.6722923013391482	1.1306686138518791
mimix-0-factors	setting01	rep2	β[6, 1]	β	0.0	0.04159361211240088	0.0	0.0	0.0	0.0	0.7302548952540749
mimix-0-factors	setting01	rep2	β[7, 1]	β	0.0	0.0006225733356719007	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[8, 1]	β	0.0	0.00409975098212807	0.0	0.0	0.0	0.0	0.06510075139115953
mimix-0-factors	setting01	rep2	β[9, 1]	β	0.0	0.007349224107008857	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[10, 1]	β	0.0	-0.012832049420944038	-0.1618170403625535	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[11, 1]	β	1.543864445467662	1.182775584306305	0.0	0.9920198961673684	1.2240640271794354	1.4382260732742709	1.9023624208651593
mimix-0-factors	setting01	rep2	β[12, 1]	β	1.543864445467662	1.175349578047957	0.0	0.960121083940048	1.2269409175489616	1.4501728099216726	1.90337956133078
mimix-0-factors	setting01	rep2	β[13, 1]	β	1.543864445467662	0.6466313978265017	0.0	0.0	0.7469558465068531	1.0899540251365174	1.639081085703293
mimix-0-factors	setting01	rep2	β[14, 1]	β	1.543864445467662	1.1755334618889806	0.0	1.005050004115156	1.2084582185248522	1.4100036917836023	1.7689857070254602
mimix-0-factors	setting01	rep2	β[15, 1]	β	1.543864445467662	0.9926716766163356	0.0	0.8099046200220605	1.023181735032876	1.1951068322446374	1.5730119726529648
mimix-0-factors	setting01	rep2	β[16, 1]	β	0.0	-0.02511285982697418	-0.4756824437372599	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[17, 1]	β	0.0	-0.00933002274913668	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[18, 1]	β	0.0	-0.0026098456275355096	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[19, 1]	β	0.0	-0.004731677390503821	0.0	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[20, 1]	β	0.0	-0.0191482935432246	-0.396112252829278	0.0	0.0	0.0	0.0
mimix-0-factors	setting01	rep2	β[21, 1]	β	0.0	-0.004712031851762209	0.0	0.0	0.0	0.0	0.0
